loan_word,original_word
Beige,beige
Bekassine,bécassine
Beletage,bel étage
Berber,berbère
Bernadette,Bernadette
Betise,bêtise
Beton,béton
betonieren,bétonner
Bidet,bidet
bigott,bigot
Bigotterie,bigoterie
Bijou,bijou
Bikini,bikini
Billard,billard
Billetdoux,billet doux
Billeteur,billeteur
Billett,billet
Billion,billion
Biskuit,biscuit
Bistro,bistro
Biwak,bivac
biwakieren,bivouaquer
bizarr,bizarre
blamabel,blame
blanchieren,blanchir
blasiert,blasé
blasonieren,blasonner
Blessur,blessure
bleu,bleu
blockieren,bloquer
blond,blond
Blondine,blondine
Bluff,bluff
blümerant,bleu mourant
Bluse,blouse
Bohème,bohème
Bohemien,bohémien
Boiserie,boiserie
Bombardement,bombardement
bombardieren,bombarder
Bombe,bombe
Bon,bon
Bonbon,bonbon
Bonmot,bon mot
Bonvivant,bon vivant
Bonze,bonze
Bordell,bordel
Bordüre,bordure
borniert,borné
Bosse,Bosse
Bouillon,bouillon
Boulevard,boulevard
Bouquet,Bouquet
Bouquet garni,bouquet garni
bourgeois,bourgeois
Bourgeoisie,bourgeoisie
Bouteille,bouteille
Boutique,boutique
Branche,branche
brav,brave
Bravour,bravoure
bravourös,bravoureux
Bredouille,bredouille
Bresche,brèche
Brigade,brigade
Brikett,briquette
brillant,brillant
Brillant,brillant
Brillanz,brillance
Brimborium,brimborion
Brioche,brioche
brisant,brisant
Brisanz,brisant
Brise,brise
Brom,brome
Brosche,broche
Broschüre,brochure
brünett,brunet
brünieren,brunir
brüsk,brusque
brüskieren,brusquer
brut,brut
Budget,budget
Buffet,buffet
Bulette,boulette de viande
Bulletin,bulletin
Bürette,burette
burlesk,burlesque
Burleske,burlesque
Burnus,burnous
Büro,bureau
Bürokrat,bureaucrate
Bürokratie,bureaucratie
Bussard,busard
Büste,buste
Buvette,buvette
Caban,caban
Cabriolet,cabriolet
Cachet,cachet
Café,café
Caisson,caisson
Camion,camion
Camouflage,camouflage
Canaille,canaille
Caprice,caprice
Cedille,cédille
Celine,Céline
Chaiselongue,chaise longue
Champignon,champignon
Chance,chance
Chanson,chanson
Chapeau,chapeau
Charlotte,Charlotte
charmant,charmant
Charme,charme
Charmeur,charmeur
Chassis,châssis
Chauffeur,Chauffeur
Chaussee,chaussée
Chauvinist,chauviniste
Chef,chef
Cheminée,cheminée
Chic,chic
Chicorée,chicorée
Chiffre,chiffre
Chose,chose
Cidre,cidre
Cineast,cinéaste
Citrin,citrine
Claqueur,claqueur
Clementine,clémentine
Clou,clou
Coiffure,coiffure
Collage,collage
Colonel,colonel
Contenance,contenance
Corps,corps
Couleur,couleur
Couloir,couloir
Coup,coup
Coupé,coupé
Coupon,coupon
Courtage,courtage
Courtoisie,courtoisie
Cousin,cousin
Cousine,cousine
Creme,crème
Crème de la Crème,crème de la crème
Crème fraîche,crème fraîche
Crêpe,crêpe
Croissant,croissant
Croupier,croupier
d'accord,d'accord
Daube,dove
de luxe,de luxe
Debatte,débattre
Debüt,début
Defätist,défaitiste
Defilee,défilé
Déjà-vu,déjà-vu
Dekade,décade
Dekolleté,décolleté
delikat,délicat
delogieren,déloger
dementieren,démentir
demissionieren,démissionner
Demontage,démontage
deplorabel,déplorable
Depot,dépôt
deroutieren,dérouter
Desaster,désastre
desaströs,désastreux
desavouieren,désavouer
Deserteur,déserteur
Desillusion,désillusion
Dessert,dessert
Detail,détail
diaphan,diaphane
Diktionär,dictionnaire
Diplomat,diplomate
Diskothek,discothèque
Dispositiv,dispositif
dito,dito
Doge,doge
Dom,dôme
Domäne,domaine
Domestik,domestique
Dompteur,dompteur
Dompteuse,dompteuse
Dossier,dossier
Double,double
Drachme,drachme
Dragee,dragée
Dresseur,dresseur
dressieren,dresser
Druse,Druze
Eau de Toilette,eau de toilette
echauffieren,échauffer
Eduard,Édouard
egal,egal
Elan,élan
Elite,élite
Emaille,émail
emblematisch,emblématique
Emeute,émeute
eminent,éminent
Emissär,émissaire
en gros,en gros
en masse,en masse
en vogue,en vogue
endimanchiert,endimancher
Enfant terrible,enfant terrible
engagieren,engager
enorm,enorme
Enquete,enquête
Ensemble,ensemble
Entourage,entourage
Entrecote,entrecôte
Entree,entrée
Ergotamin,ergot
Eric,Éric
Eskapade,escapade
Eskorte,escorte
Esparsette,esparcet
Esplanade,esplanade
Esprit,esprit
Essayist,essayiste
Estompe,estompe
Estouffade,estouffade
Estrade,estrade
Estragon,estragon
etablieren,établir
Etablissement,établissement
Etage,étage
Etagere,étagère
Etalage,étalage
etalieren,étaler
Etalon,étalon
Etamin,étamine
Étang,étang
Etappe,étape
Etat,état
etatisieren,étatiser
Etatismus,étatisme
Etikett,étiquette
Etikette,étiquette
Etüde,étude
Etui,étui
Eventualität,éventualité
Evidenz,évidence
Existentialismus,existentialisme
Existentialist,existentialiste
Expansion,expansion
expert,expertus
Expertise,expertise
Exposee,exposé
extravagant,extravagant
exzeptionell,exceptionnel
Fabienne,Fabienne
Fabrik,fabrique
Fabrikant,fabriquant
Facette,facette
fade,fade
Faible,faible
Fanal,fanal
fanatisch,fanatique
Fanatismus,fanatisme
Fanfaronade,fanfaronnade
Farce,farce
Fassade,façade
Fasson,façon
Fauteuil,fauteuil
Fauxpas,faux pas
Fee,fée
Feston,feston
Fete,fête
Fetisch,fétiche
fetischisieren,fétichiser
Feuilleton,feuilleton
Feuilletonist,feuilletoniste
Fiaker,fiacre
Filet,filet
Filou,filou
Financier,financier
Finanzier,financier
Finesse,finesse
Flair,flair
Flakon,flacon
flamboyant,flamboyant
Flanell,flanelle
Flaneur,flâneur
flatulent,flatulent
Flexibilität,flexibilité
florentinisch,Florentin
Florett,fleuret
Flotte,flotte
Flottille,flottille
Flus,flouze
Fond,fond
Fonds,fonds
Fondue,fondue
formidabel,formidable
Fossil,fossile
foudroyant,foudroyant
Fourgon,fourgon
Fourier,Fourier
foutieren,foutre
Foyer,foyer
Fraktion,fraction
frappant,frappant
frappieren,frapper
Freske,fresque
Fries,friche
Frikadelle,fricadel
Frikassee,fricassée
Frisur,frisure
Fritteuse,friteuse
Frittüre,friture
frivol,frivole
Frottee,frotté
frottieren,frotter
frugal,frugalis
Furier,fourrier
furnieren,fournir
Gage,gage
Galanterie,galanterie
Gallimathias,galimatias
Galosche,galoche
Gamasche,gamache
Ganache,ganache
Ganasche,ganache
Garage,garage
Garant,Garant
Garantie,garantie
Garde,garde
Garderobe,garde-robe
Garnison,garnison
Garnitur,garniture
Gaullismus,gaullisme
Gaze,gaze
Gelatine,gélatine
Gelee,gelée
genant,gênant
Gendarm,gendarme
Gendarmerie,gendarmerie
Genie,génie
genieren,gêner
Genre,genre
gentil,gentil
Gepard,guépard
Girlande,guirlande
Glace,glace
glazial,glacial
Gobelin,Kobold
Gouache,gouache
Gourmet,gourmet
goutieren,goûter
Gouvernante,gouvernante
Gouverneur,gouverneur
Grad,grade
Gratin,gratin
Graveur,graveur
gravieren,graver
grillieren,griller
Grimasse,grimace
Grippe,grippe
Gros,gros
grotesk,grotesque
Gruppe,groupe
Guillotine,guillotine
Guinee,Guinée
Habitué,habitué
habituell,habituel
Hangar,hangar
Hasardeur,hasardeur
Haschee,haschée
haschieren,hacher
Hausse,hausse
haussieren,hausser
Hautgout,haut goût
Hennin,hennin
Hommage,hommage
honett,honnête
Hotel,hôtel
Hotelier,hôtelier
Husse,housse
Idee,idée
ideell,idéel
Ideologe,idéologue
illuster,illustre
Imagination,imagination
Imperialismus,impérialisme
Importeur,importeur
imposant,imposant
indolent,indolent
Indolenz,indolence
Industrie,industrie
infektiös,infectieux
infiltrieren,infiltrer
Ingenieur,ingénieur
inkommodieren,incommoder
Insolenz,insolence
Installateur,installateur
Instrukteur,instructeur
instrumental,instrumental
intellektuell,intellectuel
Intendant,intendant
interessant,intéressant
Interieur,intérieur
intrigant,intrigant
Intrigant,intrigant
Intrige,intrigue
Invalide,invalide
Invention,invention
Inzidenz,incidence
Jabot,jabot
Jalousie,jalousie
Jargon,jargon
Jeton,jeton
Jonglage,jonglage
Jongleur,jongleur
Jongleuse,jongleuse
Journal,journal
Journalist,journaliste
jovial,jovial
Jupe,jupe
Jus,jus
justament,justement
Kabale,cabale
Kabarett,cabaret
Kabine,cabine
Kabinett,cabinet
Kabotage,cabotage
Kader,cadre
Kadett,cadet
Kaffee,café
Kalette,calette
Kaliber,calibre
Kalkül,calcul
Kalorie,calorie
Kalotte,calotte
Kampagne,campagne
Kanapee,canapé
Kanonier,canonnier
Kantine,cantine
Kanton,canton
Kanüle,canule
kapitalisieren,capitaliser
Kapitulation,capitulation
kapitulieren,capituler
kapriziös,capricieux
kaputt,capot
Karaffe,carafe
Karamell,caramel
karamellisieren,caraméliser
Karat,carat
Karbonade,carbonnade
Karo,carreau
Karosserie,carrosserie
Karotte,carotte
Karree,carré
Karriere,carrière
Karriole,carriole
Kartell,cartel
Karton,carton
Kartusche,cartouche
Karussell,carrousel
kaschieren,cacher
Kaserne,caserne
Kaskade,cascade
Kasserolle,casserole
Kassette,cassette
kassieren,casser
Kautschuk,caoutchouc
Kavallerie,cavalerie
Kinematograph,cinématographe
Kiosk,kiosque
Klassik,classique
Klaustrophobie,claustrophobie
Klavier,clavier
Klischee,cliché
Kognak,cognac
Koketterie,coquetterie
Kokon,cocon
Kokotte,cocotte
Kolibri,colibri
Kollaborateur,collaborateur
Kollektion,collection
Kolonne,colonne
kolossal,colossal
kolportieren,colporter
Komfort,confort
Komitee,comité
Kommandant,commandant
Kommandeur,commandeur
Komment,comment
Kommerz,commerce
kommerziell,commercial
Kommis,commis
Kommissariat,commissariat
kommod,commode
Kommode,commode
Kommunarde,communard
Kommune,commune
Kommuniqué,communiqué
Kommunismus,communisme
Kompagnon,compagnon
Kompanie,compagnie
Kompliment,compliment
Komplize,complice
Komplott,complot
Kompost,compost
Kompott,compote
Konduite,conduite
Konfident,confident
Konfitüre,confiture
Konsole,console
konsterniert,consterner
Konstrukteur,constructeur
konterkarieren,contrecarrer
Kontingent,contingent
konträr,contraire
Kontrolle,contrôle
Kontur,contour
konzentrieren,concentrer
konziliant,conciliant
Kordel,cordelle
Kordon,cordon
Kormoran,cormoran
Kornett,cornet
Korps,corps
Korpus,corpus
korrodieren,corroder
Korsage,corsage
Korsett,corset
Korvette,corvette
Koryphäe,coryphée
Kostüm,costume
Kotelett,côtelette
Koterie,coterie
Krapüle,crapule
Krawatte,cravate
Kreateur,créateur
Kreation,création
Krepp,crêpe
Krevette,crevette
kriminell,criminel
Krokant,croquant
Krokette,croquette
Kuguar,couguar
Kujon,couillon
kulant,coulant
Kulisse,coulisse
kulminieren,culminer
Kürass,cuirasse
Kurtine,courtine
kusch,couche!
kuschen,coucher
Kutsche,couche
Kuvert,couvert
Kuvertüre,couverture
Küvette,cuvette
Lafette,l’affût
Lakai,laquais
Laktose,lactose
Lamäng,la main
Lampion,lampion
Languste,langouste
lapidar,lapidaire
Lapointe,Lapointe
larmoyant,larmoyant
Latrine,latrine
Laurier,Laurier
Leblanc,Leblanc
leger,léger
Lektüre,lecture
Liaison,liaison
Libertinage,libertinage
liieren,lier
Likör,liqueur
Limette,limette
Limite,Limit
Limonade,limonade
Limousine,limousine
Lingerie,lingerie
Liquidation,liquidation
Liter,litre
Livree,livrée
Loge,loge
logieren,loger
Logis,logis
Lokal,local
Louis,Louis
loyal,loyal
Lünette,lunette
Lupe,loupe
Lüster,lustre
luxuriös,luxurieux
Luzerne,luzerne
Madeleine,Madeleine
Maisonette,maisonette
malade,malade
Malaise,malaise
Malheur,malheur
malkontent,malcontent
malträtieren,maltraiter
Mamsell,mamzelle
Mandarine,mandarine
Manege,manège
Mangan,manganèse
Maniküre,manicure
Mannequin,mannequin
Manometer,manomètre
Manöver,manœuvre
Mansarde,mansarde
Manschette,manchette
Mantille,mantille
manuell,manuel
Manufaktur,manufacture
Marcel,Marcel
Margarine,margarine
Marge,marge
Margot,Margot
Marie,Marie
Marinade,marinade
Marine,marine
Marion,Marion
Marionette,marionnette
markant,marquant
Marke,marque
Markise,marquise
marode,maraud
Marodeur,maraudeur
Marone,marron
Marotte,marotte
Marsch,marche
Martingal,martingale
Maschikuli,mâchicouli
Maschine,machine
Maske,masque
Massage,massage
Massaker,massacre
Masseuse,masseuse
massieren,masser
massiv,massif
Massiv,massif
Matinee,matinée
Mätresse,maîtresse
Matrize,matrice
Mayonnaise,mayonnaise
Medaille,médaille
Medaillon,médaillon
Melange,mélange
Melasse,mélasse
melodiös,mélodieux
Memoiren,mémoires
Menage,ménage
Menagerie,ménagerie
menagieren,se ménager
Menhir,menhir
Menü,menu
merci,merci
mesalliieren,mésallier
Metempsychose,métempsychose
Meter,mètre
Metier,métier
Meute,meute
Michelle,Michelle
Miene,mine
Migräne,migraine
Mikrofon,microphone
Milan,Milan
Milieu,milieu
Militär,militaire
Milliarde,milliard
Millionär,millionnaire
Minarett,minaret
Mine,mine
minen,miner
Mineur,mineur
Minister,ministre
Misanthrop,misanthrope
miserabel,misérable
Misere,misère
Mistral,Mistral
Möbel,meuble
Mode,mode
Mokka,moka
Molekül,molécule
mondän,mondain
monetär,monétaire
Monokel,monocle
Monolog,monologue
monströs,monstrueux
Montage,montage
montieren,monter
Montur,monture
monumental,monumental
Moral,morale
Morphem,morphème
Moschee,mosquée
Motiv,motif
motivieren,motiver
Muckefuck,moka faux
munizipal,municipal
Muskete,mousquet
muskulös,musculeux
mysteriös,mystérieux
Narzisse,narcisse
Naturell,naturel
Necessaire,nécessaire
Neger,nègre
Negligé,négligé
Nekrolog,nécrologie
Nicolas,Nicholas
Nikotin,nicotine
Nische,niche
Niveau,niveau
nivellieren,niveler
nobel,noble
Noblesse,noblesse
Nonchalance,nonchalance
nonchalant,nonchalant
Normandie,Normandie
Notifikation,notification
Nougat,nougat
Nuance,nuance
Occasion,occasion
offensiv,offensif
Offensive,offensive
Offerte,offerte
okkasionell,occasionnel
oktroyieren,octroyer
Ökumenopolis,œcumenopolis
Omelett,omelette
ominös,omineux
Omnibus,voiture omnibus
ondulieren,onduler
Onkel,oncle
Operateur,opérateur
Opportunität,opportunité
orange,pome orenge
Orange,Orange
Orangeat,orangeat
Orchidee,orchidée
Ordonnanz,ordonnance
Organisation,organisation
original,original
originell,originel
Ouvertüre,ouverture
Ozelot,ocelot
Page,Pagé
Paillette,paillette
Paket,paquet
Palais,palais
Paletot,paletot
Palette,palette
Palisade,palissade
Pamphlet,pamphlet
Panaché,panaché
Panade,panade
Panne,panne
Pappmaschee,papier mâché
Parapluie,parapluie
Parasol,parasol
Paravent,paravent
Parcours,parcours
Pardon,pardon
Parfüm,parfum
Parfümerie,parfumerie
parieren,parer
Parkett,parquet
Parkour,parkour
Parterre,parterre
Partie,partie
partout,partout
Parvenü,parvenu
Parzelle,parcelle
parzellieren,parceller
Paspel,passepoil
passabel,passable
Passage,passage
Passant,passant
passé,passé
Passepartout,passe-partout
Passerelle,passerelle
passieren,passer
Passion,passion
Pastille,pastille
Patronage,patronage
Patrone,patron
Patrouille,patrouille
patt,pat
Patt,pat
pausen,poncer
Pavillon,pavillon
Pediküre,pédicure
Pekari,pécari
pekuniär,pécuniaire
Peloton,peloton
Pendant,pendant
Pendentif,pendentif
penetrant,pénétrant
Pension,pension
Pensionär,pensionnaire
pensionieren,pensionner
perdu,perdu
perfide,perfide
Perkal,percale
permanent,permanent
perniziös,pernicieux
perplex,perplexus
Perron,perron
Persiflage,persiflage
pervers,pervers
Petitesse,petitesse
Petulanz,pétulance
phänomenal,phénoménal
Phantom,fantôme
Philatelie,philatélie
Phonem,phonème
Picknick,pique-nique
Pik,pique
piken,piquer
pikieren,piquer
Piment,piment
Pinzette,pincette
Pipette,pipette
Piraterie,piraterie
Pirouette,pirouette
Pissoir,pissoir
Piste,piste
Pistole,pistole
plädieren,plaider
Plädoyer,plaidoyer
Plafond,plafond
Plagiat,plagiat
Plakette,plaquette
Plan,plan
planieren,planer
Plantage,plantage
Plaque,plaque
Pläsier,plaisir
Plastik,plastique
Plateau,plateau
Platine,platine
Plattform,plate-forme
Plattitüde,platitude
Plissee,plissé
Plombe,plombe
Plüsch,peluche
Poesie,poésie
Poetik,poétique
Pointe,pointe
pointieren,pointer
Police,police
Policinello,Polichinelle
Polonäse,polonaise
Pomade,pommade
Pommes frites,pommes frites
Pompon,pompon
Ponton,Ponton
popularisieren,populariser
Popularität,popularité
porös,poreux
portabel,portable
Portefeuille,portefeuille
Portemonnaie,porte-monnaie
Portepee,porte-épée
Portier,Portier
Porträt,portrait
Pose,pose
Poseur,poseur
Positivismus,positivisme
Postillion,postillon
Potpourri,pot-pourri
Poule,poule
Poulet,poulet
power,poeir
prägnant,prégnant
Praline,praline
Praliné,praliner
Prärie,prairie
prätentiös,prétentieux
Prävention,prévention
prekär,précaire
Prekariat,précariat
Premier,premier
Premiere,première
Prestige,prestige
primär,primaire
primitiv,primitif
Priorität,priorité
Prise,prise
Produktion,production
produktiv,productif
Profiteur,profiteur
progressiv,progressif
Promenade,promenade
Proportion,proportion
Protegé,protégé
protestieren,protester
Provokateur,provocateur
prüde,prude
Prüderie,pruderie
Pseudonym,pseudonyme
Puder,poudre
Püree,purée
qualifizieren,qualifier
Quarantäne,quarantaine
Quartier,quartier
Queue,queue
Quiche,quiche
Raclette,raclette
Raffinerie,raffinerie
Rage,rage
Ragout,ragoût
Rampe,rampe
Ramsch,rams
Rang,rang
Rapport,rapport
rar,rare
rasant,rasant
rasieren,raser
Räson,raison
Ratatouille,ratatouille
Rayon,rayon
Razzia,razzia
Reaktionär,réactionnaire
realisieren,réaliser
Realität,réalité
Recherche,recherche
recherchieren,rechercher
Redakteur,rédacteur
Redaktion,rédaction
redigieren,rédiger
Redoute,redoute
reell,réel
Referenz,référence
referenzieren,référencer
Reflex,réflexe
Reflexion,réflexion
Refrain,refrain
Regie,régie
Regime,régime
Regisseur,régisseur
Reglement,réglement
Rehabilitation,réhabilitation
Reklame,réclame
reklamieren,réclamer
Rekommandeur,recommandeur
rekommandieren,recommander
Rekrut,recreute
Rekurs,recours
Relais,relais
remis,remis
Remis,remis
Remise,remise
Remoulade,rémoulade
Renaissance,renaissance
Renault,Renault
Rendezvous,rendez-vous
Reneklode,reine-claude
Renette,reinette
Renommee,renommée
Rentier,rentier
Repertoire,répertoire
Replik,réplique
Reportage,reportage
Repräsentant,représentant
Republik,république
Reservoir,réservoir
Ressentiment,ressentiment
Ressort,ressort
Ressource,ressource
Restaurant,restaurant
restaurieren,restaurer
restriktiv,restrictif
Resultat,résultat
Resümee,résumé
Retabel,retable
retour,retour
Retusche,retouche
reüssieren,réussir
Revanche,revanche
Revers,revers
reversieren,reverser
Revision,révision
Revolution,révolution
Revue,revue
Rezitativ,récitatif
Rhone,Rhône
Ringlotte,reine-claude
riskant,risquant
Robe,robe
Rochade,rocade
Romancier,romancier
Romandie,Romandie
romanisieren,romaniser
Romanze,romance
Rondell,rondelle
Rosette,rosette
Rouge,rouge
Roulade,roulade
Roulette,roulette
Route,route
Routine,routine
Routinier,routinier
rüde,rude
rudimentär,rudimentaire
Ruin,ruine
Rund,rond
Rundiste,rondiste
Rüsche,ruche
Sabotage,sabotage
Saison,saison
Sakkade,saccade
Salär,salaire
Salon,salon
salopp,salope
salü,salut
Salut,salut
Salve,salve
sapperlot,saperlotte
Sarkophag,sarcophage
Satin,satin
Sauce hollandaise,sauce hollandaise
Savonette,savonnette
Schakal,chacal
Schalotte,échalote
schalu,jaloux
Schaluppe,chaloupe
Scharade,charade
Scharlatan,charlatan
Scharlatanerie,charlatanerie
Scharnier,charnière
Schärpe,écharpe
schassen,chasser
Schikane,chicane
Schikoree,chicorée
Schlumpf,schtroumpf
schockieren,choquer
Schokolade,chocolat
Séance,séance
Selen,sélénium
Sellerie,céleri
Semantik,sémantique
sentimental,comparative
Serenade,sérénade
Serie,série
seriös,sérieux
Service,service
Serviette,serviette
sexuell,sexuel
Sfax,Sfax
Sigle,sigle
Silhouette,silhouette
Sioux,Sioux
Sirene,sirène
Situation,situation
situiert,situer
skabrös,scabreux
Skandal,scandale
skandalös,scandaleuse
skandieren,scander
Smoking,smoking
Sockel,socle
Soiree,soirée
solenn,solennel
Solidarität,solidarité
Sonde,sonde
sondieren,sonder
Soße,sauce
Sottise,sottise
Soubrette,soubrette
Soufflé,soufflé
Souffleur,souffleur
Souffleuse,souffleuse
soufflieren,souffler
Souk,souk
Souper,souper
Soutane,soutane
Souterrain,souterrain
Souvenir,souvenir
souverän,souverain
Souverän,souverain
Sozietät,société
Spektakel,spectacle
Spion,espion
Spontaneität,spontanéité
sportiv,sportif
Stereotyp,stéréotype
Store,store
Stratege,stratège
süffisant,suffisant
Suite,suite
Sujet,sujet
superb,superbe
Supplement,supplément
Surrealismus,surréalisme
Syndikat,syndicat
Tabak,tabac
Tabatiere,tabatière
Tableau,tableau
Tablett,tablette
Tablette,tablette
Taille,taille
Takt,tact
Tampon,tampon
Tamtam,tam-tam
Tante,tante
Tantieme,tantième
Tapir,tapir
Tarot,tarot
Tarte,tarte
Tasse,tasse
Taverne,taverne
Taxi,taxi
Tein,théine
Teint,teint
Telegraph,télégraphe
temporär,temporaire
Terrain,terrain
Terrasse,terrasse
Terrine,terrine
Theres,Thérèse
Thermometer,thermomètre
Thon,thon
Tic,tic
Timbre,timbre
Tirade,tirade
titrieren,titrer
Toilette,toilette
Tomate,tomate
Tonnage,tonnage
Topinambur,topinambour
Toupet,toupet
Tour,tour
Tour de Force,tour de force
Tournee,tournée
traditionell,traditionnel
Tranche,tranche
Translation,translation
transparent,transparent
Trasse,tracé
Trassee,tracé
Treff,trèfle
Tresor,trésor
Tresse,tresse
Tribüne,tribune
Trikot,tricot
trist,triste
Tristesse,tristesse
trivial,trivial
Trivialität,trivialité
Trottoir,trottoir
Trubel,trouble
Trüffel,truffe
Trupp,troupe
tschö,adieu
Tuff,touffe
Tüll,tulle
Tutu,tutu
Type,type
Uniform,uniforme
Usance,usance
usuell,usuel
Utopie,utopie
vage,vague
Vanille,vanille
Varieté,(théâtre des) variétés
Vase,vase
Velo,vélo
Velodrom,vélodrome
Velours,velours
ventilieren,ventiler
Verjus,verjus
Verlan,verlan
Vernissage,vernissage
Verve,verve
Vestibül,vestibule
veterinär,vétérinaire
Vignette,vignette
Villegiatur,villégiature
Vinaigrette,vinaigrette
Vincent,Vincent
Visage,visage
Visagist,visagiste
Visionär,visionnaire
Visite,visite
Vitrage,vitrage
Vitrine,vitrine
Voliere,volière
Volte,volte
voluminös,volumineux
voluptuös,voluptueux
Voyeur,voyeur
Voyeuse,voyeuse
vulgär,vulgaire
Watremez,Watremez
Weste,veste
Xenophilie,xénophilie
Yperit,ypérite
Zebu,zébu
Zellulose,cellulose
Zentimeter,centimètre
Zigarette,cigarette
Zivilisation,civilisation
