,German,French,Alsatian,germ_pron,als_pron,fr_pron,orth_score_germ_als,orth_score_fr_als,pron_score_fr_als,pron_score_germ_als
45,Ampere,strong,Àmpär,"('AMPR', '')","('MPR', '')","('STRNK', '')",0.5454545454545454,0.18181818181818182,0.25,0.8571428571428571
46,amüsant,amusant,.,"('AMSNT', '')","('', '')","('AMSNT', '')",.,.,.,.
47,Amüsement,amusement,Spass,"('AMSMNT', '')","('SPS', '')","('AMSMNT', '')",0.2857142857142857,0.2857142857142857,0.2222222222222222,0.2222222222222222
48,amüsieren,amuser,.,"('AMSRN', '')","('', '')","('AMSR', '')",.,.,.,.
49,analog,analogue,.,"('ANLK', '')","('', '')","('ANLK', '')",.,.,.,.
50,Anarchie,anarchie,.,"('ANRX', 'ANRK')","('', '')","('ANRX', 'ANRK')",.,.,.,.
51,Anarchismus,anarchisme,.,"('ANRXSMS', 'ANRKSMS')","('', '')","('ANRXSM', 'ANRKSM')",.,.,.,.
52,Anarchist,anarchiste,.,"('ANRXST', 'ANRKST')","('', '')","('ANRXST', 'ANRKST')",.,.,.,.
53,Angiografie,angiographie,.,"('ANJKRF', 'ANKKRF')","('', '')","('ANJKRF', 'ANKKRF')",.,.,.,.
54,Animateur,animateur,.,"('ANMTR', '')","('', '')","('ANMTR', '')",.,.,.,.
55,Anisette,anisette,.,"('ANST', '')","('', '')","('ANST', '')",.,.,.,.
56,Annette,Annette,.,"('ANT', '')","('', '')","('ANT', '')",.,.,.,.
57,Annonce,annonce,Inseràt,"('ANNS', '')","('ANSRT', '')","('ANNS', '')",0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6666666666666666
58,anonym,anonyme,.,"('ANNM', '')","('', '')","('ANNM', '')",.,.,.,.
59,antichambrieren,antichambre,Vorzemmer,"('ANTXMPRRN', 'ANTKMPRRN')","('FRSMR', '')","('ANTXMPR', 'ANTKMPR')",0.25,0.2,0.3333333333333333,0.2857142857142857
60,antik,antique,üràlt,"('ANTK', '')","('RLT', '')","('ANTK', '')",0.2,0.16666666666666666,0.2857142857142857,0.2857142857142857
61,Antilope,antilope,.,"('ANTLP', '')","('', '')","('ANTLP', '')",.,.,.,.
62,Antiziganismus,antitsiganisme,.,"('ANTSKNSMS', '')","('', '')","('ANTTSKNSM', '')",.,.,.,.
63,Antonym,antonyme,.,"('ANTNM', '')","('', '')","('ANTNM', '')",.,.,.,.
64,Apanage,apanage,.,"('APNJ', 'APNK')","('', '')","('APNJ', 'APNK')",.,.,.,.
65,apart,a part,.,"('APRT', '')","('', '')","('APRT', '')",.,.,.,.
66,Aperitif,apéritif,.,"('APRTF', '')","('', '')","('APRTF', '')",.,.,.,.
67,Apéro,apéro,.,"('APR', '')","('', '')","('APR', '')",.,.,.,.
68,Aplomb,aplomb,.,"('APLMP', '')","('', '')","('APLMP', '')",.,.,.,.
69,Appartement,appartement,Wohnung,"('APRTMNT', '')","('ANNK', 'FNNK')","('APRTMNT', '')",0.1111111111111111,0.1111111111111111,0.36363636363636365,0.36363636363636365
70,Appell,appel,Berüafung,"('APL', '')","('PRFNK', '')","('APL', '')",0.13333333333333333,0.14285714285714285,0.25,0.25
71,Apport,apport,.,"('APRT', '')","('', '')","('APRT', '')",.,.,.,.
72,apropos,à propos,.,"('APRPS', '')","('', '')","('PRPS', '')",.,.,.,.
73,Ar,are,Àr,"('AR', '')","('R', '')","('AR', '')",0.5,0.4,0.6666666666666666,0.6666666666666666
74,Arachnide,arachnide,.,"('ARKNT', '')","('', '')","('ARKNT', '')",.,.,.,.
75,Arachnophobie,arachnophobie,.,"('ARKNFP', '')","('', '')","('ARKNFP', '')",.,.,.,.
76,arbiträr,arbitraire,.,"('ARPTRR', '')","('', '')","('ARPTRR', '')",.,.,.,.
77,Arkade,arcade,.,"('ARKT', '')","('', '')","('ARKT', '')",.,.,.,.
78,Arkebuse,arquebuse,.,"('ARKPS', '')","('', '')","('ARKPS', '')",.,.,.,.
79,Armee,armée,Heer,"('ARM', '')","('HR', '')","('ARM', '')",0.4444444444444444,0.2222222222222222,0.4,0.4
80,Arrangement,arrangement,.,"('ARNJMNT', 'ARNKMNT')","('', '')","('ARNJMNT', 'ARNKMNT')",.,.,.,.
81,Arrangeur,arrangeur,.,"('ARNJR', 'ARNKR')","('', '')","('ARNJR', 'ARNKR')",.,.,.,.
82,arrangieren,arranger,.,"('ARNJRN', 'ARNKRN')","('', '')","('ARNKR', 'ARNJR')",.,.,.,.
83,arretieren,arrêter,ufheere,"('ARTRN', '')","('AFR', '')","('ARTR', '')",0.47058823529411764,0.2857142857142857,0.5714285714285714,0.5
84,arrivieren,arriver,.,"('ARFRN', '')","('', '')","('ARFR', '')",.,.,.,.
85,arriviert,arriver,.,"('ARFRT', '')","('', '')","('ARFR', '')",.,.,.,.
86,artifiziell,artificiel,.,"('ARTFSL', '')","('', '')","('ARTFSL', 'ARTFXL')",.,.,.,.
87,Artillerie,artillerie,.,"('ARTLR', '')","('', '')","('ARTLR', '')",.,.,.,.
88,As,as,Àss,"('AS', '')","('S', '')","('AS', '')",0.4,0.4,0.6666666666666666,0.6666666666666666
89,Asphalt,asphalte,Àsphàlt,"('ASFLT', '')","('SFLT', '')","('ASFLT', '')",0.7142857142857143,0.6666666666666666,0.8888888888888888,0.8888888888888888
90,Aspik,aspic,Sulza,"('ASPK', '')","('SLS', '')","('ASPK', '')",0.2,0.2,0.2857142857142857,0.2857142857142857
91,Aspirant,aspirant,Seekàdätt,"('ASPRNT', '')","('SKTT', '')","('ASPRNT', '')",0.23529411764705882,0.23529411764705882,0.4,0.4
92,Ass,as,Àss,"('AS', '')","('S', '')","('AS', '')",0.6666666666666666,0.4,0.6666666666666666,0.6666666666666666
93,Assiette,assiette,Täller,"('AST', '')","('TLR', '')","('AST', '')",0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333
94,Astronomie,astronomie,.,"('ASTRNM', '')","('', '')","('ASTRNM', '')",.,.,.,.
95,Atelier,atelier,Àtlie,"('ATL', 'ATLR')","('TL', '')","('ATL', 'ATLR')",0.6666666666666666,0.6666666666666666,0.8,0.8
96,Attaché,attaché,.,"('ATK', '')","('', '')","('ATK', '')",.,.,.,.
97,Attacke,attaque,Àngriff,"('ATK', '')","('NKRF', '')","('ATK', '')",0.0,0.0,0.2857142857142857,0.2857142857142857
98,attackieren,attaquer,angriffe,"('ATKRN', '')","('ANKRF', '')","('ATKR', '')",0.3157894736842105,0.25,0.6666666666666666,0.6
99,Attentat,attentat,.,"('ATNTT', '')","('', '')","('ATNTT', '')",.,.,.,.
100,Attitüde,attitude,Hàltung,"('ATTT', '')","('LTNK', '')","('ATTT', '')",0.13333333333333333,0.26666666666666666,0.25,0.25
101,attraktiv,attractif,.,"('ATRKTF', '')","('', '')","('ATRKTF', '')",.,.,.,.
102,Attrappe,attrape,.,"('ATRP', '')","('', '')","('ATRP', '')",.,.,.,.
103,Au-pair,au pair,.,"('APR', '')","('', '')","('APR', '')",.,.,.,.
104,Aubergine,aubergine,Melanzani,"('APRJN', 'APRKN')","('MLNSN', '')","('APRJN', 'APRKN')",0.2222222222222222,0.2222222222222222,0.2,0.2
105,Autocar,autocar,.,"('ATKR', '')","('', '')","('ATKR', '')",.,.,.,.
106,Autodrom,autodrome,.,"('ATTRM', '')","('', '')","('ATTRM', '')",.,.,.,.
107,Automatismus,automatisme,.,"('ATMTSMS', '')","('', '')","('ATMTSM', '')",.,.,.,.
108,Automobilist,automobiliste,Autofahrer,"('ATMPLST', '')","('ATFRR', '')","('ATMPLST', '')",0.36363636363636365,0.43478260869565216,0.3333333333333333,0.3333333333333333
109,Avance,avance,.,"('AFNS', '')","('', '')","('AFNS', '')",.,.,.,.
110,avancieren,avancer,.,"('AFNSRN', 'AFNXRN')","('', '')","('AFNSR', '')",.,.,.,.
111,Avantgarde,avant-garde,.,"('AFNTKRT', '')","('', '')","('AFNTKRT', '')",.,.,.,.
112,Aventüre,aventure,.,"('AFNTR', '')","('', '')","('AFNTR', '')",.,.,.,.
113,Aversion,aversion,Àbnaigung,"('AFRSN', 'AFRXN')","('PNKNK', '')","('AFRSN', 'AFRXN')",0.35294117647058826,0.35294117647058826,0.2,0.2
114,Avis,avis,.,"('AFS', '')","('', '')","('AFS', '')",.,.,.,.
115,Bagage,bagage,Gepack,"('PKJ', 'PKK')","('KPK', 'JPK')","('PKJ', 'PKK')",0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
116,Bagatelle,bagatelle,.,"('PKTL', '')","('', '')","('PKTL', '')",.,.,.,.
117,Baguette,baguette,.,"('PKT', '')","('', '')","('PKT', '')",.,.,.,.
118,Bain-Marie,bain-marie,.,"('PNMR', '')","('', '')","('PNMR', '')",.,.,.,.
119,Baiser,baiser,Schmutz,"('PSR', '')","('XMTS', 'SMTS')","('PSR', '')",0.15384615384615385,0.15384615384615385,0.2857142857142857,0.2857142857142857
120,Baisse,baisse,.,"('PS', '')","('', '')","('PS', '')",.,.,.,.
121,Bajonett,baïonnette,.,"('PJNT', 'PHNT')","('', '')","('PNT', '')",.,.,.,.
122,Balance,balance,Woog,"('PLNS', '')","('AK', 'FK')","('PLNS', '')",0.0,0.0,0.0,0.0
123,balancieren,balancer,.,"('PLNSRN', 'PLNXRN')","('', '')","('PLNSR', '')",.,.,.,.
124,Balise,baliser,.,"('PLS', '')","('', '')","('PLSR', '')",.,.,.,.
125,Balkon,balcon,.,"('PLKN', '')","('', '')","('PLKN', '')",.,.,.,.
126,Ball,bal,Bààl,"('PL', '')","('PL', '')","('PL', '')",0.5,0.5714285714285714,1.0,1.0
127,Baluster,balustre,.,"('PLSTR', '')","('', '')","('PLSTR', '')",.,.,.,.
128,Balustrade,balustrade,Breschtung,"('PLSTRT', '')","('PRXTNK', '')","('PLSTRT', '')",0.2,0.2,0.3333333333333333,0.3333333333333333
129,Bambule,bamboula,.,"('PMPL', '')","('', '')","('PMPL', '')",.,.,.,.
130,banal,banal,àbgedroscha,"('PNL', '')","('PJTRX', 'PKTRX')","('PNL', '')",0.25,0.25,0.25,0.25
131,banalisieren,banaliser,.,"('PNLSRN', '')","('', '')","('PNLSR', '')",.,.,.,.
132,Banalität,banalité,.,"('PNLTT', '')","('', '')","('PNLT', '')",.,.,.,.
133,Bandage,bandage,Verbànd,"('PNTJ', 'PNTK')","('FRPNT', '')","('PNTJ', 'PNTK')",0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666
134,bandagieren,bandage,Verbànd,"('PNTJRN', 'PNTKRN')","('FRPNT', '')","('PNTJ', 'PNTK')",0.3333333333333333,0.42857142857142855,0.6666666666666666,0.5454545454545454
135,Banderole,banderole,.,"('PNTRL', '')","('', '')","('PNTRL', '')",.,.,.,.
136,Bankett,banquette,Bànkätt,"('PNKT', '')","('PNKT', '')","('PNKT', '')",0.7142857142857143,0.5,1.0,1.0
137,Bankier,banquier,.,"('PNKR', '')","('', '')","('PNK', 'PNKR')",.,.,.,.
138,Bar,barre,Schtànga,"('PR', '')","('XTNK', 'STNK')","('PR', '')",0.18181818181818182,0.15384615384615385,0.0,0.0
139,Baracke,baraque,.,"('PRK', '')","('', '')","('PRK', '')",.,.,.,.
140,Barbie,Barbier,.,"('PRP', '')","('', '')","('PRP', 'PRPR')",.,.,.,.
141,Barbier,barbier,.,"('PRP', 'PRPR')","('', '')","('PRP', 'PRPR')",.,.,.,.
142,Barde,barde,.,"('PRT', '')","('', '')","('PRT', '')",.,.,.,.
143,Baron,Baron,.,"('PRN', '')","('', '')","('PRN', '')",.,.,.,.
144,Barriere,barrière,.,"('PRR', '')","('', '')","('PRR', '')",.,.,.,.
145,Barrikade,barricade,.,"('PRKT', '')","('', '')","('PRKT', '')",.,.,.,.
146,Baryton,baryton,.,"('PRTN', '')","('', '')","('PRTN', '')",.,.,.,.
147,Basar,bazar,.,"('PSR', '')","('', '')","('PSR', '')",.,.,.,.
148,Bassin,Bassin,Bäcka,"('PSN', '')","('PK', '')","('PSN', '')",0.36363636363636365,0.36363636363636365,0.4,0.4
149,Bastienne,Bastienne,.,"('PSTN', '')","('', '')","('PSTN', '')",.,.,.,.
150,Bataillon,bataillon,.,"('PTLN', '')","('', '')","('PTLN', '')",.,.,.,.
151,Batterie,batterie,Akkü,"('PTR', '')","('AK', '')","('PTR', '')",0.16666666666666666,0.16666666666666666,0.0,0.0
152,Bauxit,bauxite,.,"('PKST', '')","('', '')","('PKST', '')",.,.,.,.
153,Bavardage,bavardage,Gschwatz,"('PFRTJ', 'PFRTK')","('KXTS', '')","('PFRTJ', 'PFRTK')",0.11764705882352941,0.11764705882352941,0.2222222222222222,0.2222222222222222
154,Béchamelsauce,béchamel,.,"('PXMLSS', 'PKMLSS')","('', '')","('PXML', 'PKML')",.,.,.,.
155,Beduine,Bédouin,.,"('PTN', '')","('', '')","('PTN', '')",.,.,.,.
156,beige,(dialectal) beige,.,"('PJ', 'PK')","('', '')","('TLKTLPJ', 'TLKTLPK')",.,.,.,.
157,Beige,beige,.,"('PJ', 'PK')","('', '')","('PJ', 'PK')",.,.,.,.
158,Bekassine,bécassine,.,"('PKSN', '')","('', '')","('PKSN', '')",.,.,.,.
159,Beletage,bel étage,.,"('PLTJ', 'PLTK')","('', '')","('PLTJ', 'PLTK')",.,.,.,.
160,Berber,berbère,.,"('PRPR', '')","('', '')","('PRPR', '')",.,.,.,.
161,Bernadette,Bernadette,.,"('PRNTT', '')","('', '')","('PRNTT', '')",.,.,.,.
162,Betise,bêtise,Dummhait,"('PTS', '')","('TMT', '')","('PTS', '')",0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333
163,Beton,béton,.,"('PTN', '')","('', '')","('PTN', '')",.,.,.,.
164,betonieren,bétonner,.,"('PTNRN', '')","('', '')","('PTNR', '')",.,.,.,.
165,Bidet,bidet,.,"('PTT', '')","('', '')","('PTT', '')",.,.,.,.
166,bigott,bigot,.,"('PKT', '')","('', '')","('PKT', '')",.,.,.,.
167,Bigotterie,bigoterie,.,"('PKTR', '')","('', '')","('PKTR', '')",.,.,.,.
168,Bijou,bijou,Schmuck,"('PJ', 'PH')","('XMK', 'SMK')","('PJ', 'PH')",0.16666666666666666,0.16666666666666666,0.0,0.0
169,Bikini,bikini,.,"('PKN', '')","('', '')","('PKN', '')",.,.,.,.
170,Billard,billard,Billardschpeel,"('PLRT', '')","('PLRTXPL', '')","('PLRT', '')",0.6666666666666666,0.6666666666666666,0.7272727272727273,0.7272727272727273
171,Billetdoux,billet doux,.,"('PLT', '')","('', '')","('PLTT', '')",.,.,.,.
172,Billeteur,billeteur,.,"('PLTR', '')","('', '')","('PLTR', '')",.,.,.,.
173,Billett,billet,Gäldschinn,"('PLT', '')","('KLTXN', '')","('PLT', '')",0.11764705882352941,0.125,0.5,0.5
174,Billion,billion,.,"('PLN', '')","('', '')","('PLN', '')",.,.,.,.
175,Biskuit,biscuit,.,"('PSKT', '')","('', '')","('PSKT', '')",.,.,.,.
176,Bistro,bistro,.,"('PSTR', '')","('', '')","('PSTR', '')",.,.,.,.
177,Biwak,bivac,.,"('PK', '')","('', '')","('PFK', '')",.,.,.,.
178,biwakieren,bivouaquer,.,"('PKRN', '')","('', '')","('PFKR', '')",.,.,.,.
179,bizarr,bizarre,saltsàhm,"('PSR', '')","('SLTSM', '')","('PSR', '')",0.14285714285714285,0.13333333333333333,0.25,0.25
180,blamabel,blame,.,"('PLMPL', '')","('', '')","('PLM', '')",.,.,.,.
181,blanchieren,blanchir,.,"('PLNXRN', 'PLNKRN')","('', '')","('PLNXR', 'PLNKR')",.,.,.,.
182,blasiert,blasé,.,"('PLSRT', '')","('', '')","('PLS', '')",.,.,.,.
183,blasonieren,blasonner,.,"('PLSNRN', '')","('', '')","('PLSNR', '')",.,.,.,.
184,Blessur,blessure,Verlätzung,"('PLSR', '')","('FRLTSNK', '')","('PLSR', '')",0.23529411764705882,0.2222222222222222,0.36363636363636365,0.36363636363636365
185,bleu,bleu,Blöi,"('PL', '')","('PL', '')","('PL', '')",0.5,0.5,1.0,1.0
186,blockieren,bloquer,.,"('PLKRN', '')","('', '')","('PLKR', '')",.,.,.,.
187,blond,blond,.,"('PLNT', '')","('', '')","('PLNT', '')",.,.,.,.
188,Blondine,blondine,.,"('PLNTN', '')","('', '')","('PLNTN', '')",.,.,.,.
189,Bluff,bluff,.,"('PLF', '')","('', '')","('PLF', '')",.,.,.,.
190,blümerant,bleu mourant,.,"('PLMRNT', '')","('', '')","('PLMRNT', '')",.,.,.,.
191,Bluse,blouse,Blüsa,"('PLS', '')","('PLS', '')","('PLS', '')",0.6,0.5454545454545454,1.0,1.0
192,Bohème,bohème,.,"('PM', '')","('', '')","('PM', '')",.,.,.,.
193,Bohemien,bohémien,.,"('PHMN', '')","('', '')","('PMN', '')",.,.,.,.
194,Boiserie,boiserie,.,"('PSR', '')","('', '')","('PSR', '')",.,.,.,.
195,Bombardement,bombardement,Bumberdiarung,"('PMPRTMNT', '')","('PMRTRNK', '')","('PMPRTMNT', '')",0.48,0.48,0.6666666666666666,0.6666666666666666
196,bombardieren,bombarder,.,"('PMPRTRN', '')","('', '')","('PMPRTR', '')",.,.,.,.
197,Bombe,bombe,Bumba,"('PMP', '')","('PMP', '')","('PMP', '')",0.6,0.6,1.0,1.0
198,Bon,bon,göt,"('PN', '')","('KT', '')","('PN', '')",0.0,0.0,0.0,0.0
199,Bonbon,bonbon,.,"('PNPN', '')","('', '')","('PNPN', '')",.,.,.,.
200,Bonmot,bon mot,.,"('PNMT', '')","('', '')","('PNMT', '')",.,.,.,.
201,Bonvivant,bon vivant,.,"('PNFFNT', '')","('', '')","('PNFFNT', '')",.,.,.,.
202,Bonze,bonze,.,"('PNS', '')","('', '')","('PNS', '')",.,.,.,.
203,Bordell,bordel,Puff,"('PRTL', '')","('PF', '')","('PRTL', '')",0.0,0.0,0.3333333333333333,0.3333333333333333
204,Bordüre,bordure,Innfàssung,"('PRTR', '')","('ANFSNK', '')","('PRTR', '')",0.0,0.11764705882352941,0.0,0.0
205,borniert,borné,.,"('PRNRT', '')","('', '')","('PRN', '')",.,.,.,.
206,Bosse,Bosse,Buckel,"('PS', '')","('PKL', '')","('PS', '')",0.36363636363636365,0.36363636363636365,0.4,0.4
207,Bouillon,bouillon,.,"('PLN', '')","('', '')","('PLN', '')",.,.,.,.
208,Boulevard,boulevard,.,"('PLFRT', '')","('', '')","('PLFRT', '')",.,.,.,.
209,Bouquet,Bouquet,Strüss,"('PKT', '')","('STRS', '')","('PKT', '')",0.15384615384615385,0.15384615384615385,0.2857142857142857,0.2857142857142857
210,Bouquet garni,bouquet garni,.,"('PKTKRN', '')","('', '')","('PKTKRN', '')",.,.,.,.
211,bourgeois,bourgeois,.,"('PRJ', 'PRKS')","('', '')","('PRJ', 'PRKS')",.,.,.,.
212,Bourgeoisie,bourgeoisie,Bergertum,"('PRJS', 'PRKS')","('PRKRTM', 'PRJRTM')","('PRJS', 'PRKS')",0.4,0.4,0.6,0.6
213,Bouteille,bouteille,Glàsflàsch,"('PTL', '')","('KLSFLX', '')","('PTL', '')",0.21052631578947367,0.21052631578947367,0.2222222222222222,0.2222222222222222
214,Boutique,boutique,Làda,"('PTK', '')","('LT', '')","('PTK', '')",0.0,0.0,0.4,0.4
215,Branche,branche,.,"('PRNX', 'PRNK')","('', '')","('PRNX', 'PRNK')",.,.,.,.
216,brav,brave,.,"('PRF', '')","('', '')","('PRF', '')",.,.,.,.
217,Bravour,bravoure,Tàpferkait,"('PRFR', '')","('TPFRKT', '')","('PRFR', '')",0.23529411764705882,0.2222222222222222,0.6,0.6
218,bravourös,bravoureux,.,"('PRFRS', '')","('', '')","('PRFRKS', '')",.,.,.,.
219,Bredouille,bredouille,.,"('PRTL', '')","('', '')","('PRTL', '')",.,.,.,.
220,Bresche,brèche,.,"('PRX', '')","('', '')","('PRX', 'PRK')",.,.,.,.
221,Brigade,brigade,.,"('PRKT', '')","('', '')","('PRKT', '')",.,.,.,.
222,Brikett,briquette,.,"('PRKT', '')","('', '')","('PRKT', '')",.,.,.,.
223,brillant,brillant,.,"('PRLNT', '')","('', '')","('PRLNT', '')",.,.,.,.
224,Brillant,brillant,.,"('PRLNT', '')","('', '')","('PRLNT', '')",.,.,.,.
225,Brillanz,brillance,Glànz,"('PRLNS', '')","('KLNS', '')","('PRLNS', '')",0.46153846153846156,0.2857142857142857,0.6666666666666666,0.6666666666666666
226,Brimborium,brimborion,.,"('PRMPRM', '')","('', '')","('PRMPRN', '')",.,.,.,.
227,Brioche,brioche,.,"('PRX', 'PRK')","('', '')","('PRX', 'PRK')",.,.,.,.
228,brisant,brisant,.,"('PRSNT', '')","('', '')","('PRSNT', '')",.,.,.,.
229,Brisanz,brisant,.,"('PRSNS', '')","('', '')","('PRSNT', '')",.,.,.,.
230,Brise,brise,.,"('PRS', '')","('', '')","('PRS', '')",.,.,.,.
231,Brom,brome,.,"('PRM', '')","('', '')","('PRM', '')",.,.,.,.
232,Brosche,broche,.,"('PRX', '')","('', '')","('PRX', 'PRK')",.,.,.,.
233,Broschüre,brochure,.,"('PRXR', '')","('', '')","('PRXR', 'PRKR')",.,.,.,.
234,brünett,brunet,.,"('PRNT', '')","('', '')","('PRNT', '')",.,.,.,.
235,brünieren,brunir,.,"('PRNRN', '')","('', '')","('PRNR', '')",.,.,.,.
236,brüsk,brusque,.,"('PRSK', '')","('', '')","('PRSK', '')",.,.,.,.
237,brüskieren,brusquer,.,"('PRSKRN', '')","('', '')","('PRSKR', '')",.,.,.,.
238,brut,brut,Brüat,"('PRT', '')","('PRT', '')","('PRT', '')",0.6666666666666666,0.6666666666666666,1.0,1.0
239,Budget,budget,.,"('PJT', '')","('', '')","('PJT', '')",.,.,.,.
240,Buffet,buffet,Büffett,"('PFT', '')","('PFT', '')","('PFT', '')",0.7692307692307693,0.7692307692307693,1.0,1.0
241,Bulette,boulette de viande,.,"('PLT', '')","('', '')","('PLTTFNT', '')",.,.,.,.
242,Bulletin,bulletin,Schüalzöigniss,"('PLTN', '')","('XLSNS', 'SLSKNS')","('PLTN', '')",0.2727272727272727,0.2727272727272727,0.4444444444444444,0.4444444444444444
243,Bürette,burette,.,"('PRT', '')","('', '')","('PRT', '')",.,.,.,.
244,burlesk,burlesque,.,"('PRLSK', '')","('', '')","('PRLSK', '')",.,.,.,.
245,Burleske,burlesque,.,"('PRLSK', '')","('', '')","('PRLSK', '')",.,.,.,.
246,Burnus,burnous,Bürnüs,"('PRNS', '')","('PRNS', '')","('PRNS', '')",0.6666666666666666,0.6153846153846154,1.0,1.0
247,Büro,bureau,Büro,"('PR', '')","('PR', '')","('PR', '')",1.0,0.4,1.0,1.0
248,Bürokrat,bureaucrate,.,"('PRKRT', '')","('', '')","('PRKRT', '')",.,.,.,.
249,Bürokratie,bureaucratie,.,"('PRKRT', '')","('', '')","('PRKRT', '')",.,.,.,.
